country_region,sub_region_1,date,type,values
Argentina,CABA,2020-03-04,residential,-1
Argentina,CABA,2020-03-05,retail_and_recreation,10
Argentina,CABA,2020-03-05,grocery_and_pharmacy,19
Argentina,CABA,2020-03-05,parks,8
Argentina,CABA,2020-03-05,transit_stations,12
Argentina,CABA,2020-03-05,workplaces,10
Argentina,CABA,2020-03-05,residential,-1
Argentina,CABA,2020-03-06,retail_and_recreation,14
Argentina,CABA,2020-03-06,grocery_and_pharmacy,18
Argentina,CABA,2020-03-06,parks,11
Argentina,CABA,2020-03-06,transit_stations,15
Argentina,CABA,2020-03-06,workplaces,12
Argentina,CABA,2020-03-06,residential,-1
Argentina,CABA,2020-03-07,retail_and_recreation,20
Argentina,CABA,2020-03-07,grocery_and_pharmacy,21
Argentina,CABA,2020-03-07,parks,16
Argentina,CABA,2020-03-07,transit_stations,19
Argentina,CABA,2020-03-07,workplaces,0
Argentina,CABA,2020-03-07,residential,1
Argentina,CABA,2020-03-08,retail_and_recreation,15
Argentina,CABA,2020-03-08,grocery_and_pharmacy,22
Argentina,CABA,2020-03-08,parks,-5
Argentina,CABA,2020-03-08,transit_stations,11
Argentina,CABA,2020-03-08,workplaces,-11
Argentina,CABA,2020-03-08,residential,3
Argentina,CABA,2020-03-09,retail_and_recreation,11
Argentina,CABA,2020-03-09,grocery_and_pharmacy,16
Argentina,CABA,2020-03-09,parks,23
Argentina,CABA,2020-03-09,transit_stations,21
Argentina,CABA,2020-03-09,workplaces,12
Argentina,CABA,2020-03-09,residential,-1
Argentina,CABA,2020-03-10,retail_and_recreation,13
Argentina,CABA,2020-03-10,grocery_and_pharmacy,20
Argentina,CABA,2020-03-10,parks,15
Argentina,CABA,2020-03-10,transit_stations,14
Argentina,CABA,2020-03-10,workplaces,14
Argentina,CABA,2020-03-10,residential,-2
Argentina,CABA,2020-03-11,retail_and_recreation,-19
Argentina,CABA,2020-03-11,grocery_and_pharmacy,-13
Argentina,CABA,2020-03-11,parks,-28
Argentina,CABA,2020-03-11,transit_stations,-1
Argentina,CABA,2020-03-11,workplaces,9
Argentina,CABA,2020-03-11,residential,2
